Date,Open,High,Low,Close,Volume
2022-05-11,16660.0,16793.05078125,16251.75,16572.150390625,7553
2022-05-12,16500.0,16923.30078125,16200.0,16780.650390625,10476
2022-05-13,16820.0,16943.0,16411.0,16544.650390625,10015
2022-05-16,16800.0,16800.0,16316.0,16500.25,8640
2022-05-17,16499.599609375,17838.0,16439.19921875,17636.099609375,57647
2022-05-18,17499.0,17986.150390625,17438.650390625,17875.55078125,27037
2022-05-19,17400.0,18195.0,17337.599609375,18129.30078125,43427
2022-05-20,18200.0,18298.44921875,17880.599609375,17950.44921875,14477
2022-05-23,18059.25,18294.75,17574.30078125,17737.69921875,15705
2022-05-24,17737.69921875,18285.0,17427.400390625,18197.44921875,19810
2022-05-25,18260.0,18290.0,17990.5,18056.25,10875
2022-05-26,18056.0,18162.650390625,17648.0,17710.55078125,9604
2022-05-27,17810.0,17985.0,17516.55078125,17938.55078125,12810
2022-05-30,17949.0,18193.94921875,17859.0,17899.44921875,9441
2022-05-31,17940.0,18077.400390625,17600.0,17725.30078125,13243
2022-06-01,17800.0,18000.0,17699.05078125,17775.400390625,5702
2022-06-02,17775.5,18595.0,17611.900390625,18376.150390625,55095
2022-06-03,18450.0,18599.0,17764.0,17828.599609375,16530
2022-06-06,17828.599609375,17999.349609375,17550.0,17691.05078125,9985
2022-06-07,17691.05078125,18000.0,17691.05078125,17748.150390625,12134
2022-06-08,17800.0,18350.0,17760.0,17971.650390625,23988
2022-06-09,17706.05078125,18195.0,17600.0,18057.349609375,15711
2022-06-10,17989.94921875,18280.0,17800.0,18191.44921875,12116
2022-06-13,18055.0,18098.650390625,17809.05078125,17904.849609375,11584
2022-06-14,17825.0,17985.400390625,17673.80078125,17737.05078125,9754
2022-06-15,17950.0,17999.0,17741.0,17909.900390625,8592
2022-06-16,18000.0,18400.0,17805.69921875,17955.150390625,12617
2022-06-17,17955.150390625,18200.650390625,17800.0,17910.150390625,19491
2022-06-20,17850.0,18024.55078125,17701.0,17828.400390625,13443
2022-06-21,17828.400390625,18195.0,17828.400390625,18123.19921875,11288
2022-06-22,18100.0,18200.0,17864.05078125,17958.80078125,12304
2022-06-23,17925.0,18105.0,17810.0,18039.599609375,14917
2022-06-24,18100.0,18200.0,17954.94921875,18058.44921875,10505
2022-06-27,18101.55078125,18298.0,17937.099609375,18000.349609375,12115
2022-06-28,18036.5,18200.0,17862.0,18137.05078125,11481
2022-06-29,18075.94921875,19150.0,17971.150390625,18992.80078125,42662
