Date,Open,High,Low,Close,Volume
2022-05-11,68350.0,69274.8984375,67817.1484375,68110.703125,10262
2022-05-12,67990.0,68199.953125,66680.0,67622.046875,11473
2022-05-13,67690.0,73280.6015625,67690.0,72050.8984375,28470
2022-05-16,71780.0,73240.0,71400.1015625,72528.3984375,12665
2022-05-17,72800.0,74300.0,72600.0,74006.75,10590
2022-05-18,74205.0,74849.953125,73811.046875,74687.6484375,10398
2022-05-19,73500.0,74250.0,73001.0,73434.75,8680
2022-05-20,74200.0,74679.953125,73978.796875,74104.953125,7777
2022-05-23,74500.0,75146.8984375,73066.296875,73386.203125,8044
2022-05-24,73499.953125,74598.8984375,73112.953125,74395.5,7073
2022-05-25,74564.25,75428.0,73574.6015625,74824.25,7765
2022-05-26,75000.0,75300.0,73400.0,75060.953125,9279
2022-05-27,75210.0,75690.0,74300.0,74654.8515625,7417
2022-05-30,74900.0,75795.5,74862.1484375,75388.046875,6081
2022-05-31,75400.0,78165.6484375,75237.453125,77649.453125,27991
2022-06-01,77200.0,77570.0,76000.0,76331.5,7322
2022-06-02,75501.1015625,75999.8515625,75030.3984375,75872.796875,5643
2022-06-03,76061.0,76887.953125,76061.0,76460.3515625,10174
2022-06-06,76390.0,76672.8515625,74555.046875,74712.296875,8339
2022-06-07,74000.0,74497.25,71337.6015625,71659.0,12064
2022-06-08,71701.0,72396.6484375,70320.0,70653.546875,10536
2022-06-09,70000.0,70700.0,70000.0,70425.75,5276
2022-06-10,70115.953125,70545.0,69718.5,69952.25,6364
2022-06-13,69000.0,69307.796875,68215.796875,68558.546875,5879
2022-06-14,67506.0,69500.0,67506.0,68202.25,6121
2022-06-15,68202.25,69551.0,68202.25,68441.703125,7761
2022-06-16,69295.0,69314.953125,67000.0,67176.6015625,7091
2022-06-17,67000.0,69130.0,65878.3515625,68124.546875,17498
2022-06-20,68260.796875,68599.8984375,66491.453125,66651.546875,6721
2022-06-21,66658.0,68299.953125,66658.0,68091.546875,5942
2022-06-22,67600.0,68230.0,67350.0,68040.6015625,4849
2022-06-23,68040.6015625,69280.0,68040.546875,69006.203125,7455
2022-06-24,68900.0,70775.0,68900.0,70553.0,12532
2022-06-27,71200.0,71907.703125,70900.0,71221.75,8117
2022-06-28,71000.0,72599.75,70567.703125,72268.6484375,10643
2022-06-29,71567.0,72000.0,71150.0,71523.75,6071
2022-06-30,71748.0,72099.796875,70425.0,70800.8984375,6089
2022-07-01,70300.0,72500.0,70300.0,72194.296875,5409
2022-07-04,71900.0,72499.8515625,71600.0,71776.453125,4102
2022-07-05,72000.0,72340.0,71056.453125,71221.1484375,3862
2022-07-06,71721.953125,73500.0,71499.453125,73230.203125,7785
2022-07-07,73825.0,75500.0,73346.296875,75337.8984375,12354
2022-07-08,75337.8984375,76454.0,75335.046875,76044.953125,10071
2022-07-11,76000.0,76500.0,75300.0,76375.8515625,8025
2022-07-12,76000.0,76900.0,75829.046875,76664.6484375,7467
2022-07-13,76674.0,77600.0,76674.0,77273.75,7992
2022-07-14,77399.796875,77863.453125,76532.296875,77414.8984375,6630
2022-07-15,77724.0,79729.6484375,77629.546875,79558.1015625,14260
2022-07-18,79602.0,80998.953125,79600.0,80742.5,15460
2022-07-19,80500.0,80820.8984375,79191.546875,79941.796875,8431
2022-07-20,80075.0,80618.8515625,79400.0,79784.6015625,7028
2022-07-21,79630.0,80418.3984375,79555.0,80178.3984375,6751
2022-07-22,80290.0,80738.0,79136.296875,79400.6015625,6537
2022-07-25,79600.0,81198.953125,79531.796875,80834.046875,11727
2022-07-26,80829.0,80965.75,79830.796875,80150.203125,5871
2022-07-27,80150.0,80971.0,79650.0,80864.953125,5546
2022-07-28,81010.0,83300.0,81010.0,83046.5,14509
2022-07-29,83479.0,83970.0,82552.296875,83818.1484375,12547
2022-08-01,84000.0,87400.0,83998.3515625,86950.3515625,16248
2022-08-02,86930.0,88950.0,86300.0,88173.1484375,18522
2022-08-03,88174.0,88950.0,87216.75,88738.953125,15400
2022-08-04,88988.953125,89499.8984375,87736.6484375,88711.796875,11181
2022-08-05,89000.0,89150.0,87855.953125,88895.453125,9228
2022-08-08,88500.046875,88900.0,87500.0,87717.5,8338
2022-08-10,86805.0,87234.8984375,82610.0,83466.6015625,26092
2022-08-11,83999.0,84598.0,82101.0,82500.703125,12363
2022-08-12,82995.0,84338.203125,82271.546875,83130.8515625,10606
2022-08-16,83500.0,87593.296875,83400.1015625,86971.453125,28904
2022-08-17,87000.0,87925.296875,86381.0,86853.6015625,18111
2022-08-18,86844.953125,87988.046875,85806.296875,87591.546875,14967
2022-08-19,87989.0,88361.8515625,86436.953125,86825.8984375,11885
2022-08-22,86808.953125,86876.953125,84510.0,84828.25,11433
2022-08-23,83930.0,86779.953125,83800.0,85895.453125,13741
2022-08-24,85799.953125,86699.75,84800.046875,85264.5,8432
2022-08-25,85599.0,86500.0,85178.796875,85445.0,12922
2022-08-26,86400.0,86445.0,85000.0,85272.25,6083
2022-08-29,84629.953125,84894.75,83479.0,84418.6484375,5901
2022-08-30,84895.0,86263.796875,84740.0,85364.953125,14199
2022-09-01,85444.0,85982.8984375,84500.0,85142.75,6632
2022-09-02,85795.0,85979.25,84202.0,84356.8984375,7733
2022-09-05,84889.0,85100.0,84101.296875,84254.046875,4058
2022-09-06,84779.453125,85889.953125,84412.046875,85257.703125,11784
2022-09-07,84900.0,85910.953125,84900.0,85133.296875,5967
2022-09-08,85599.0,86449.8984375,85220.0,85396.3984375,7893
2022-09-09,85838.3515625,85990.0,84013.0,84208.046875,6406
2022-09-12,84550.0,85900.0,84250.0,85808.296875,8568
2022-09-13,86000.1015625,86350.0,85315.046875,85551.25,5533
2022-09-14,83750.0,86444.046875,83750.0,86071.703125,9618
2022-09-15,86488.0,93887.0,85685.1484375,92868.453125,66242
