Date,Open,High,Low,Close,Volume
2022-05-11,41000.0,42146.3984375,40512.1015625,41785.6015625,23731
2022-05-12,41699.0,41777.1484375,40625.19921875,40915.0,16682
2022-05-13,41570.0,42989.8984375,41388.6015625,41787.6015625,25039
2022-05-16,41815.19921875,42600.0,41743.69921875,42394.0,12900
2022-05-17,42394.0,42899.0,41809.6484375,42087.05078125,20576
2022-05-18,42587.75,43080.0,42314.69921875,42916.8984375,22669
2022-05-19,42401.0,42600.0,41600.1484375,41866.69921875,23043
2022-05-20,42500.0,42912.0,42252.1015625,42568.6015625,17876
2022-05-23,42565.0,43074.94921875,42001.0,42184.8984375,11852
2022-05-24,42397.0,43348.0,42010.0,42940.3984375,16912
2022-05-25,42932.0,43490.0,41102.69921875,41408.5,15654
2022-05-26,41790.0,42531.0,40566.80078125,41778.30078125,50699
2022-05-27,43150.0,45180.0,42930.3984375,44442.1484375,90562
2022-05-30,44636.05078125,45393.0,44550.0,45042.30078125,20521
2022-05-31,44810.0,46070.0,44810.0,45194.05078125,70757
2022-06-01,45500.0,45998.94921875,43819.19921875,44194.30078125,29060
2022-06-02,44100.0,44193.75,43263.30078125,43548.80078125,15201
2022-06-03,43950.0,44599.8515625,42131.5,42433.1484375,27518
2022-06-06,42620.19921875,42800.0,41771.0,42127.94921875,16143
2022-06-07,41906.25,42225.0,40750.0,41390.75,17398
2022-06-08,41250.0,41793.19921875,40918.0,41362.1484375,11206
2022-06-09,41000.0,41574.6484375,40918.94921875,41512.8984375,8618
2022-06-10,41300.0,41434.25,41000.0,41346.6484375,9224
2022-06-13,41100.0,41100.0,40200.0,40537.8984375,14184
2022-06-14,40500.0,41099.6484375,39856.05078125,39999.75,52384
2022-06-15,40540.0,41700.0,40300.1015625,40971.94921875,29681
2022-06-16,41500.0,41598.80078125,39969.3984375,40044.3984375,37036
2022-06-17,39950.0,40122.5,38747.44921875,39870.80078125,48923
2022-06-20,39900.0,40123.0,39200.05078125,39883.6484375,15474
2022-06-21,40050.0,40150.0,38900.3984375,39232.3984375,26810
2022-06-22,39200.0,39227.94921875,37825.0,38968.69921875,24263
2022-06-23,39199.0,39300.0,38650.0,38897.75,13378
2022-06-24,39000.0,40100.0,39000.0,40026.80078125,32477
2022-06-27,40650.0,41180.0,40034.6015625,40190.80078125,20882
2022-06-28,40100.0,40299.1015625,39580.0,40028.55078125,11511
2022-06-29,39900.0,41475.30078125,39529.69921875,41027.05078125,38176
2022-06-30,40903.0,41000.0,40024.05078125,40166.5,52445
2022-07-01,40199.0,41599.8984375,40124.94921875,41375.80078125,13064
2022-07-04,41336.69921875,42220.3515625,40915.05078125,42052.6015625,19858
2022-07-05,42059.0,42591.8984375,41900.0,42348.25,14353
2022-07-06,42400.0,43771.19921875,41914.8515625,43570.8984375,15361
2022-07-07,43800.0,44250.0,43578.94921875,44014.30078125,8650
2022-07-08,44014.30078125,44121.5,43411.0,43575.69921875,11494
2022-07-11,43450.0,43698.8984375,42925.3515625,43399.1015625,15313
2022-07-12,43127.0,43396.0,42950.0,43088.8515625,9906
2022-07-13,43300.0,43674.0,42952.1015625,43499.69921875,14653
2022-07-14,43500.0,43957.55078125,43211.1015625,43684.3515625,6148
2022-07-15,43465.0,44533.94921875,43465.0,44368.5,9745
2022-07-18,44698.30078125,44698.30078125,43800.0,44074.80078125,8279
2022-07-19,44099.8984375,44370.0,43522.25,43750.8515625,11102
2022-07-20,44099.5,44500.0,43667.6015625,43990.80078125,10413
2022-07-21,44000.0,45385.0,43759.3984375,45126.5,17165
2022-07-22,45130.3984375,46359.05078125,45100.0,45342.44921875,14796
2022-07-25,45300.0,46200.0,45265.0,45616.80078125,10650
2022-07-26,45675.6015625,46299.8984375,45616.80078125,46193.8984375,9522
2022-07-27,46194.0,47400.0,46194.0,47257.3515625,16941
2022-07-28,47500.0,48349.8984375,46931.19921875,47760.5,37906
2022-07-29,47866.0,49135.6015625,47863.0,48873.0,17420
2022-08-01,48911.0,49384.0,48600.0,49222.80078125,15660
2022-08-02,49216.0,49849.94921875,48840.0,48987.5,18097
2022-08-03,49108.6015625,49108.6015625,47500.0,48017.6015625,21040
2022-08-04,48500.0,49234.0,47781.1484375,49026.69921875,16953
2022-08-05,49000.05078125,49198.5,48048.0,48211.6015625,9680
2022-08-08,48445.0,48727.94921875,48207.3984375,48627.1015625,8967
2022-08-10,48450.05078125,48827.55078125,47830.1015625,48387.3984375,11583
2022-08-11,48794.80078125,49449.0,48350.1015625,49011.1015625,18083
2022-08-12,49750.0,50350.0,48614.0,49137.3515625,41032
2022-08-16,49594.8984375,49930.0,49113.75,49678.8515625,10480
2022-08-17,49980.0,50157.80078125,49224.0,49491.19921875,17362
2022-08-18,49401.0,50172.44921875,49067.3984375,50041.8984375,12397
2022-08-19,49901.0,50624.1484375,49603.3515625,50031.94921875,16842
2022-08-22,49900.0,50479.8984375,48824.05078125,48997.0,17313
2022-08-23,48997.0,50399.75,48515.0,50123.94921875,19135
2022-08-24,49350.0,50100.0,49173.5,49800.19921875,25763
2022-08-25,50000.0,50246.5,49500.0,49678.1015625,15525
2022-08-26,49900.0,50340.0,49743.0,49937.6015625,10970
2022-08-29,49300.0,49650.0,48777.05078125,49390.69921875,11393
2022-08-30,49650.0,51499.94921875,49650.0,51043.1484375,30980
2022-09-01,50556.05078125,51454.0,50337.1015625,50606.1015625,18237
2022-09-02,50860.0,50860.0,49850.0,49915.94921875,12138
2022-09-05,49915.94921875,50036.5,49158.3984375,49786.19921875,22649
2022-09-06,49814.0,50692.3515625,49736.5,49858.94921875,13962
2022-09-07,49808.6015625,50036.8984375,49224.44921875,49740.1015625,14643
2022-09-08,49830.0,50424.19921875,49425.0,49570.05078125,11425
2022-09-09,49666.0,49849.0,48779.8984375,48961.80078125,11381
2022-09-12,49540.0,49641.80078125,48886.6484375,49079.8984375,19795
2022-09-13,49300.0,50031.30078125,48200.0,48379.69921875,30661
2022-09-14,48220.0,48695.30078125,47451.6484375,48311.8984375,41250
2022-09-15,48600.0,49450.0,48600.0,49182.1015625,16367
2022-09-16,49100.0,49636.0,48263.8515625,48813.05078125,22812
2022-09-19,48813.05078125,48884.94921875,47850.1015625,48638.1484375,12353
2022-09-20,48810.0,50494.6015625,48800.05078125,50355.44921875,29246
2022-09-21,50210.1015625,51600.0,50000.25,51140.0,28109
2022-09-22,50902.0,53616.3515625,50603.3984375,53012.55078125,39159
2022-09-23,53012.55078125,53615.0,52441.8984375,53078.1484375,36932
2022-09-26,52941.19921875,52941.19921875,50382.55078125,50636.5,39566
2022-09-27,50800.0,51268.3515625,49201.05078125,49760.19921875,26201
2022-09-28,49500.0,50240.0,49300.0,49991.80078125,23976
2022-09-29,50240.0,50700.0,48976.0,49664.8984375,26371
2022-09-30,49664.8984375,50912.25,48910.0,50666.1484375,19202
2022-10-03,50666.1484375,50919.5,49200.0,49557.05078125,19154
2022-10-04,50249.0,52686.0,50001.5,52202.8984375,36582
2022-10-06,52250.0,54026.55078125,52250.0,53078.94921875,33655
2022-10-07,53050.0,53600.0,52400.0,53453.19921875,17210
2022-10-10,52565.0,53091.25,52143.5,52385.0,13276
2022-10-11,52689.8984375,52799.1015625,50904.94921875,51306.19921875,19818
2022-10-12,51306.19921875,52900.0,50460.44921875,51014.1015625,12156
2022-10-13,51014.1015625,51392.5,50441.55078125,50781.69921875,10721
2022-10-14,51300.0,51700.0,50625.0,50754.30078125,9888
2022-10-17,50800.0,51493.6015625,50105.0,51339.94921875,9429
2022-10-18,51511.0,52500.0,51441.3984375,52346.0,12610
2022-10-19,52346.0,53110.0,52200.05078125,52899.94921875,13931
2022-10-20,52606.0,54109.0,51943.0,53795.80078125,24580
2022-10-21,53800.0,54349.1015625,52800.0,52994.6484375,15601
2022-10-24,53754.6484375,53754.6484375,53075.25,53222.19921875,1529
2022-10-25,53488.3515625,53575.1015625,51715.0,51964.75,15410
2022-10-27,52200.0,52699.94921875,50400.0,50870.5,21078
2022-10-28,51124.8984375,51500.0,49011.8984375,49224.94921875,26419
2022-10-31,49471.1015625,50425.94921875,49025.0,49768.6484375,27490
2022-11-01,50011.80078125,50799.8984375,49290.0,50289.69921875,26579
2022-11-02,50289.69921875,50289.69921875,49350.05078125,50144.3515625,12650
2022-11-03,49800.0,50500.0,49359.1015625,49530.30078125,16974
2022-11-04,49749.0,50000.0,49325.0,49642.3984375,13518
2022-11-07,49890.6484375,50120.0,49217.3984375,49981.3984375,16468
2022-11-09,50251.0,50251.0,49325.0,49581.44921875,16306
2022-11-10,49720.0,49720.0,48205.1015625,48666.0,39154
2022-11-11,48666.0,49249.0,46906.1484375,47560.8984375,39220
2022-11-14,47020.0,47400.0,46710.05078125,46843.94921875,25629
2022-11-15,46715.0,46979.8984375,46055.0,46696.05078125,34739
2022-11-16,46690.0,46690.0,45860.19921875,46207.1015625,47189
2022-11-17,46290.0,46300.0,45550.0,45906.1484375,22171
2022-11-18,46090.0,46350.0,45351.0,46139.44921875,20051
2022-11-21,46200.0,46812.3515625,45821.5,46687.30078125,15860
2022-11-22,46800.0,47066.0,46490.05078125,46952.75,12032
2022-11-23,47187.55078125,47500.0,46860.44921875,47036.6015625,13967
